source_asset_id,target_asset_id,connection_type,relationship_strength
CBE-B1-CHL-01,CBE-B1-AHU-01,Supplies,0.54
CBE-B1-AHU-01,CBE-B1-EVS-01,Controls,0.62
CBE-B1-CHL-01,CBE-B1-AHU-02,Supplies,0.62
CBE-B1-AHU-02,CBE-B1-EVS-02,Controls,0.6
CBE-B1-CHL-01,CBE-B1-AHU-03,Supplies,0.63
CBE-B1-AHU-03,CBE-B1-EVS-03,Controls,0.81
CBE-B1-CHL-02,CBE-B1-AHU-04,Supplies,0.58
CBE-B1-AHU-04,CBE-B1-EVS-04,Controls,0.97
CBE-B1-CHL-02,CBE-B1-AHU-05,Supplies,0.95
CBE-B1-AHU-05,CBE-B1-EVS-05,Controls,0.69
CBE-B1-PMP-01,CBE-B1-MTR-SUB-01,Monitors,0.6
CBE-B1-PMP-02,CBE-B1-MTR-SUB-02,Monitors,0.72
CBE-B1-MTR-MAIN-01,CBE-B1-CHL-01,Monitors,0.91
CBE-B1-MTR-MAIN-01,CBE-B1-CHL-02,Monitors,0.79
CBE-B1-MTR-MAIN-01,CBE-B1-PMP-01,Monitors,0.88
CBE-B1-MTR-MAIN-01,CBE-B1-PMP-02,Monitors,0.72
CBE-B2-CHL-01,CBE-B2-AHU-01,Supplies,0.78
CBE-B2-AHU-01,CBE-B2-EVS-01,Controls,0.57
CBE-B2-CHL-01,CBE-B2-AHU-02,Supplies,0.84
CBE-B2-AHU-02,CBE-B2-EVS-02,Controls,0.52
CBE-B2-CHL-02,CBE-B2-AHU-03,Supplies,0.82
CBE-B2-AHU-03,CBE-B2-EVS-03,Controls,0.92
CBE-B2-CHL-02,CBE-B2-AHU-04,Supplies,0.48
CBE-B2-AHU-04,CBE-B2-EVS-04,Controls,0.77
CBE-B2-CHL-02,CBE-B2-AHU-05,Supplies,0.46
CBE-B2-AHU-05,CBE-B2-EVS-05,Controls,0.84
CBE-B2-PMP-01,CBE-B2-MTR-SUB-01,Monitors,0.45
CBE-B2-PMP-02,CBE-B2-MTR-SUB-02,Monitors,0.96
CBE-B2-MTR-MAIN-01,CBE-B2-CHL-01,Monitors,0.48
CBE-B2-MTR-MAIN-01,CBE-B2-CHL-02,Monitors,0.98
CBE-B2-MTR-MAIN-01,CBE-B2-PMP-01,Monitors,0.88
CBE-B2-MTR-MAIN-01,CBE-B2-PMP-02,Monitors,0.76
CBE-B3-CHL-01,CBE-B3-AHU-01,Supplies,0.87
CBE-B3-AHU-01,CBE-B3-EVS-01,Controls,0.88
CBE-B3-CHL-01,CBE-B3-AHU-02,Supplies,0.97
CBE-B3-AHU-02,CBE-B3-EVS-02,Controls,0.55
CBE-B3-CHL-02,CBE-B3-AHU-03,Supplies,0.75
CBE-B3-AHU-03,CBE-B3-EVS-03,Controls,0.46
CBE-B3-CHL-02,CBE-B3-AHU-04,Supplies,0.77
CBE-B3-AHU-04,CBE-B3-EVS-04,Controls,0.5
CBE-B3-PMP-01,CBE-B3-MTR-SUB-01,Monitors,0.74
CBE-B3-PMP-02,CBE-B3-MTR-SUB-02,Monitors,0.74
CBE-B3-MTR-MAIN-01,CBE-B3-CHL-01,Monitors,0.68
CBE-B3-MTR-MAIN-01,CBE-B3-CHL-02,Monitors,0.71
CBE-B3-MTR-MAIN-01,CBE-B3-PMP-01,Monitors,0.86
CBE-B3-MTR-MAIN-01,CBE-B3-PMP-02,Monitors,0.88
CHN-B1-CHL-01,CHN-B1-AHU-01,Supplies,0.7
CHN-B1-AHU-01,CHN-B1-EVS-01,Controls,0.76
CHN-B1-CHL-01,CHN-B1-AHU-02,Supplies,0.96
CHN-B1-AHU-02,CHN-B1-EVS-02,Controls,0.47
CHN-B1-CHL-02,CHN-B1-AHU-03,Supplies,0.47
CHN-B1-AHU-03,CHN-B1-EVS-03,Controls,0.45
CHN-B1-CHL-02,CHN-B1-AHU-04,Supplies,0.79
CHN-B1-AHU-04,CHN-B1-EVS-04,Controls,0.65
CHN-B1-PMP-01,CHN-B1-MTR-SUB-01,Monitors,0.86
CHN-B1-PMP-02,CHN-B1-MTR-SUB-02,Monitors,0.8
CHN-B1-MTR-MAIN-01,CHN-B1-CHL-01,Monitors,0.6
CHN-B1-MTR-MAIN-01,CHN-B1-CHL-02,Monitors,0.94
CHN-B1-MTR-MAIN-01,CHN-B1-PMP-01,Monitors,0.86
CHN-B1-MTR-MAIN-01,CHN-B1-PMP-02,Monitors,0.56
CHN-B2-CHL-01,CHN-B2-AHU-01,Supplies,0.62
CHN-B2-AHU-01,CHN-B2-EVS-01,Controls,0.59
CHN-B2-CHL-01,CHN-B2-AHU-02,Supplies,0.49
CHN-B2-AHU-02,CHN-B2-EVS-02,Controls,0.49
CHN-B2-CHL-01,CHN-B2-AHU-03,Supplies,0.96
CHN-B2-AHU-03,CHN-B2-EVS-03,Controls,0.66
CHN-B2-CHL-02,CHN-B2-AHU-04,Supplies,0.63
CHN-B2-AHU-04,CHN-B2-EVS-04,Controls,0.84
