asset_id,site_id,building_id,asset_name,asset_type,manufacturer,installation_date,capacity,parent_asset_id
CBE-B1-CHL-01,CBE,CBE-B1,Chiller-01,Chiller,Trane,2018-09-12,359.7,
CBE-B1-AHU-01,CBE,CBE-B1,AHU-01,AHU,Voltas,2019-04-10,50.4,CBE-B1-CHL-01
CBE-B1-EVS-01,CBE,CBE-B1,EnvSensor-01,EnvSensor,Johnson Controls,2018-10-17,,CBE-B1-AHU-01
CBE-B1-AHU-02,CBE,CBE-B1,AHU-02,AHU,Blue Star,2018-08-10,54.1,CBE-B1-CHL-01
CBE-B1-EVS-02,CBE,CBE-B1,EnvSensor-02,EnvSensor,Siemens,2021-09-20,,CBE-B1-AHU-02
CBE-B1-AHU-03,CBE,CBE-B1,AHU-03,AHU,Daikin,2017-07-20,110.8,CBE-B1-CHL-01
CBE-B1-EVS-03,CBE,CBE-B1,EnvSensor-03,EnvSensor,Johnson Controls,2021-03-05,,CBE-B1-AHU-03
CBE-B1-CHL-02,CBE,CBE-B1,Chiller-02,Chiller,Daikin,2022-10-18,388.6,
CBE-B1-AHU-04,CBE,CBE-B1,AHU-04,AHU,Trane,2018-04-18,109.5,CBE-B1-CHL-02
CBE-B1-EVS-04,CBE,CBE-B1,EnvSensor-04,EnvSensor,Johnson Controls,2021-11-04,,CBE-B1-AHU-04
CBE-B1-AHU-05,CBE,CBE-B1,AHU-05,AHU,Voltas,2017-03-22,138.2,CBE-B1-CHL-02
CBE-B1-EVS-05,CBE,CBE-B1,EnvSensor-05,EnvSensor,Johnson Controls,2023-01-16,,CBE-B1-AHU-05
CBE-B1-PMP-01,CBE,CBE-B1,Pump-01,Pump,KSB,2020-12-31,22.6,
CBE-B1-MTR-SUB-01,CBE,CBE-B1,EnergyMeter-SUB-01,EnergyMeter,Schneider Electric,2019-05-19,,CBE-B1-PMP-01
CBE-B1-PMP-02,CBE,CBE-B1,Pump-02,Pump,KSB,2018-12-01,78.1,
CBE-B1-MTR-SUB-02,CBE,CBE-B1,EnergyMeter-SUB-02,EnergyMeter,Schneider Electric,2021-09-21,,CBE-B1-PMP-02
CBE-B1-MTR-MAIN-01,CBE,CBE-B1,EnergyMeter-MAIN-01,EnergyMeter,L&T,2020-12-24,,
CBE-B2-CHL-01,CBE,CBE-B2,Chiller-01,Chiller,Carrier,2023-07-12,368.9,
CBE-B2-AHU-01,CBE,CBE-B2,AHU-01,AHU,Trane,2019-06-24,88.1,CBE-B2-CHL-01
CBE-B2-EVS-01,CBE,CBE-B2,EnvSensor-01,EnvSensor,Siemens,2018-04-04,,CBE-B2-AHU-01
CBE-B2-AHU-02,CBE,CBE-B2,AHU-02,AHU,Voltas,2022-02-27,131.5,CBE-B2-CHL-01
CBE-B2-EVS-02,CBE,CBE-B2,EnvSensor-02,EnvSensor,Johnson Controls,2018-06-19,,CBE-B2-AHU-02
CBE-B2-CHL-02,CBE,CBE-B2,Chiller-02,Chiller,Trane,2022-05-04,420.6,
CBE-B2-AHU-03,CBE,CBE-B2,AHU-03,AHU,Trane,2023-01-01,40.8,CBE-B2-CHL-02
CBE-B2-EVS-03,CBE,CBE-B2,EnvSensor-03,EnvSensor,Johnson Controls,2018-08-07,,CBE-B2-AHU-03
CBE-B2-AHU-04,CBE,CBE-B2,AHU-04,AHU,Voltas,2019-03-19,125.9,CBE-B2-CHL-02
CBE-B2-EVS-04,CBE,CBE-B2,EnvSensor-04,EnvSensor,Siemens,2021-01-22,,CBE-B2-AHU-04
CBE-B2-AHU-05,CBE,CBE-B2,AHU-05,AHU,Voltas,2023-06-15,52.6,CBE-B2-CHL-02
CBE-B2-EVS-05,CBE,CBE-B2,EnvSensor-05,EnvSensor,Siemens,2019-06-28,,CBE-B2-AHU-05
CBE-B2-PMP-01,CBE,CBE-B2,Pump-01,Pump,KSB,2020-04-05,65.9,
CBE-B2-MTR-SUB-01,CBE,CBE-B2,EnergyMeter-SUB-01,EnergyMeter,Siemens,2019-09-28,,CBE-B2-PMP-01
CBE-B2-PMP-02,CBE,CBE-B2,Pump-02,Pump,KSB,2020-04-22,38.2,
CBE-B2-MTR-SUB-02,CBE,CBE-B2,EnergyMeter-SUB-02,EnergyMeter,Siemens,2024-04-08,,CBE-B2-PMP-02
CBE-B2-MTR-MAIN-01,CBE,CBE-B2,EnergyMeter-MAIN-01,EnergyMeter,Siemens,2022-11-22,,
CBE-B3-CHL-01,CBE,CBE-B3,Chiller-01,Chiller,Carrier,2021-06-09,463.4,
CBE-B3-AHU-01,CBE,CBE-B3,AHU-01,AHU,Blue Star,2024-01-24,71.0,CBE-B3-CHL-01
CBE-B3-EVS-01,CBE,CBE-B3,EnvSensor-01,EnvSensor,Honeywell,2019-07-16,,CBE-B3-AHU-01
CBE-B3-AHU-02,CBE,CBE-B3,AHU-02,AHU,Blue Star,2020-04-28,126.2,CBE-B3-CHL-01
CBE-B3-EVS-02,CBE,CBE-B3,EnvSensor-02,EnvSensor,Siemens,2021-06-15,,CBE-B3-AHU-02
CBE-B3-CHL-02,CBE,CBE-B3,Chiller-02,Chiller,Trane,2018-05-25,291.7,
