site_id,timestamp,outdoor_temp,outdoor_humidity
CBE,2025-01-01 00:00:00,20.39,72.8
CBE,2025-01-01 00:10:00,20.28,73.8
CBE,2025-01-01 00:20:00,19.87,71.59
CBE,2025-01-01 00:30:00,19.61,76.59
CBE,2025-01-01 00:40:00,19.56,75.35
CBE,2025-01-01 00:50:00,18.93,74.22
CBE,2025-01-01 01:00:00,18.87,73.59
CBE,2025-01-01 01:10:00,18.78,76.92
CBE,2025-01-01 01:20:00,18.76,73.94
CBE,2025-01-01 01:30:00,19.08,79.25
CBE,2025-01-01 01:40:00,18.59,75.18
CBE,2025-01-01 01:50:00,18.66,78.89
CBE,2025-01-01 02:00:00,19.09,76.21
CBE,2025-01-01 02:10:00,18.54,79.02
CBE,2025-01-01 02:20:00,18.81,75.67
CBE,2025-01-01 02:30:00,18.27,76.9
CBE,2025-01-01 02:40:00,18.46,78.15
CBE,2025-01-01 02:50:00,18.22,77.98
CBE,2025-01-01 03:00:00,18.4,78.65
CBE,2025-01-01 03:10:00,18.76,76.25
CBE,2025-01-01 03:20:00,18.01,77.07
CBE,2025-01-01 03:30:00,18.68,78.74
CBE,2025-01-01 03:40:00,18.66,75.71
CBE,2025-01-01 03:50:00,18.46,77.5
CBE,2025-01-01 04:00:00,18.27,76.16
CBE,2025-01-01 04:10:00,18.8,76.61
CBE,2025-01-01 04:20:00,18.7,76.22
CBE,2025-01-01 04:30:00,19.03,74.68
CBE,2025-01-01 04:40:00,19.07,75.2
CBE,2025-01-01 04:50:00,19.66,75.52
CBE,2025-01-01 05:00:00,19.23,74.84
CBE,2025-01-01 05:10:00,19.13,77.01
CBE,2025-01-01 05:20:00,19.64,75.8
CBE,2025-01-01 05:30:00,19.81,74.34
CBE,2025-01-01 05:40:00,20.31,72.35
CBE,2025-01-01 05:50:00,20.33,71.82
CBE,2025-01-01 06:00:00,20.36,75.57
CBE,2025-01-01 06:10:00,20.89,70.62
CBE,2025-01-01 06:20:00,20.29,71.81
CBE,2025-01-01 06:30:00,20.66,71.67
CBE,2025-01-01 06:40:00,20.78,70.14
CBE,2025-01-01 06:50:00,21.16,68.56
CBE,2025-01-01 07:00:00,21.09,68.32
CBE,2025-01-01 07:10:00,21.92,68.11
CBE,2025-01-01 07:20:00,21.9,67.28
CBE,2025-01-01 07:30:00,21.76,69.73
CBE,2025-01-01 07:40:00,22.14,67.12
CBE,2025-01-01 07:50:00,22.79,65.72
CBE,2025-01-01 08:00:00,23.2,66.04
CBE,2025-01-01 08:10:00,23.8,66.25
CBE,2025-01-01 08:20:00,24.33,64.09
CBE,2025-01-01 08:30:00,23.84,65.31
CBE,2025-01-01 08:40:00,23.68,61.4
CBE,2025-01-01 08:50:00,23.6,64.41
CBE,2025-01-01 09:00:00,24.58,61.99
CBE,2025-01-01 09:10:00,24.52,61.27
CBE,2025-01-01 09:20:00,24.9,59.65
CBE,2025-01-01 09:30:00,25.1,58.2
CBE,2025-01-01 09:40:00,25.5,56.9
CBE,2025-01-01 09:50:00,26.12,57.61
CBE,2025-01-01 10:00:00,26.1,59.0
CBE,2025-01-01 10:10:00,26.26,56.05
CBE,2025-01-01 10:20:00,26.24,54.55
CBE,2025-01-01 10:30:00,26.29,54.9
CBE,2025-01-01 10:40:00,26.89,55.08
CBE,2025-01-01 10:50:00,27.25,54.56
CBE,2025-01-01 11:00:00,28.03,54.31
CBE,2025-01-01 11:10:00,27.76,55.49
CBE,2025-01-01 11:20:00,28.24,55.27
CBE,2025-01-01 11:30:00,28.0,55.88
CBE,2025-01-01 11:40:00,28.0,49.92
CBE,2025-01-01 11:50:00,28.26,50.58
CBE,2025-01-01 12:00:00,28.53,52.44
CBE,2025-01-01 12:10:00,29.56,50.26
CBE,2025-01-01 12:20:00,28.85,51.8
CBE,2025-01-01 12:30:00,29.51,50.41
CBE,2025-01-01 12:40:00,29.14,52.08
CBE,2025-01-01 12:50:00,29.84,50.91
CBE,2025-01-01 13:00:00,29.81,50.6
CBE,2025-01-01 13:10:00,29.78,48.08
CBE,2025-01-01 13:20:00,29.93,48.26
CBE,2025-01-01 13:30:00,29.85,47.68
CBE,2025-01-01 13:40:00,30.27,45.65
CBE,2025-01-01 13:50:00,30.09,49.9
CBE,2025-01-01 14:00:00,29.93,48.63
CBE,2025-01-01 14:10:00,29.97,46.84
CBE,2025-01-01 14:20:00,30.46,49.18
CBE,2025-01-01 14:30:00,30.92,46.18
CBE,2025-01-01 14:40:00,30.53,44.3
CBE,2025-01-01 14:50:00,30.46,48.53
CBE,2025-01-01 15:00:00,30.59,45.08
CBE,2025-01-01 15:10:00,30.89,46.72
CBE,2025-01-01 15:20:00,30.54,47.37
CBE,2025-01-01 15:30:00,30.33,47.71
CBE,2025-01-01 15:40:00,30.74,48.5
CBE,2025-01-01 15:50:00,30.49,48.23
CBE,2025-01-01 16:00:00,30.76,48.34
CBE,2025-01-01 16:10:00,30.28,46.51
CBE,2025-01-01 16:20:00,29.77,48.35
CBE,2025-01-01 16:30:00,29.63,45.88
CBE,2025-01-01 16:40:00,30.43,50.75
CBE,2025-01-01 16:50:00,30.34,46.59
CBE,2025-01-01 17:00:00,29.64,48.49
CBE,2025-01-01 17:10:00,29.45,47.37
CBE,2025-01-01 17:20:00,29.85,48.62
CBE,2025-01-01 17:30:00,28.93,50.12
CBE,2025-01-01 17:40:00,28.83,49.72
CBE,2025-01-01 17:50:00,29.12,52.66
CBE,2025-01-01 18:00:00,28.62,51.73
CBE,2025-01-01 18:10:00,28.55,51.17
CBE,2025-01-01 18:20:00,28.31,52.16
CBE,2025-01-01 18:30:00,28.25,54.7
CBE,2025-01-01 18:40:00,28.36,54.76
CBE,2025-01-01 18:50:00,27.75,52.23
CBE,2025-01-01 19:00:00,27.69,53.48
CBE,2025-01-01 19:10:00,26.66,55.79
CBE,2025-01-01 19:20:00,27.02,56.19
CBE,2025-01-01 19:30:00,26.54,54.68
CBE,2025-01-01 19:40:00,26.19,57.99
CBE,2025-01-01 19:50:00,26.04,56.15
CBE,2025-01-01 20:00:00,25.95,60.07
CBE,2025-01-01 20:10:00,26.07,59.55
CBE,2025-01-01 20:20:00,25.14,57.7
CBE,2025-01-01 20:30:00,25.29,59.25
CBE,2025-01-01 20:40:00,24.88,59.87
CBE,2025-01-01 20:50:00,24.66,61.59
CBE,2025-01-01 21:00:00,24.8,61.69
CBE,2025-01-01 21:10:00,24.4,60.94
CBE,2025-01-01 21:20:00,24.38,61.22
CBE,2025-01-01 21:30:00,23.67,64.78
CBE,2025-01-01 21:40:00,23.25,65.03
CBE,2025-01-01 21:50:00,23.13,65.4
